date,sum_open_interest,sum_open_interest_value,toptrader_ls_ratio,global_ls_ratio,taker_ls_vol_ratio,n_obs
2023-06-26,744492.68600000,1383735100.89334500,1.1871625013,1.5019302843294728,2.5852749332,288
2023-06-27,776317.98400000,1467562518.81562160,1.2346601456,1.2100379483412902,1.5995353743,288
2023-06-28,778337.22600000,1422691481.91636000,1.1356227200,1.78043943103288,0.5104576762,288
2023-06-29,743198.04800000,1376388582.52994230,1.1699800218,1.5480755158788233,0.6674186669,288
2023-06-30,834323.76600000,1613827208.20533660,1.2349584045,1.0154341444938926,1.4013873925,288
2023-07-01,836267.92300000,1609496002.79449940,1.2602392658,1.0792722547108513,1.6878472572,288
2023-07-02,793757.37200000,1537653720.04659630,1.2844977246,1.1163894890217556,2.4052915302,288
2023-07-03,855557.54900000,1671478206.70948080,1.2485269479,1.034035111320374,1.2722829902,288
2023-07-04,800264.81700000,1549268398.11271480,1.3032243785,1.146462018730489,0.7595700879,288
2023-07-05,796534.66300000,1521749334.98032240,1.2725692263,1.426629496880393,0.9871599187,288
2023-07-06,759588.17300000,1407212093.11501600,1.2665709951,1.783440504233781,0.9785020344,288
2023-07-07,752407.69900000,1406423043.20177000,1.2031497918,1.8683986236939298,0.9367941510,288
2023-07-08,763165.98100000,1422014804.05711000,1.2047464582,1.939521438895134,0.9819456566,288
2023-07-09,755470.55100000,1406467079.50221000,1.2106219608,1.8234841489689135,2.2053809093,288
2023-07-10,751901.30400000,1413385051.70946050,1.22539623,1.47927790,0.82559663,288
2023-07-11,761511.82100000,1429502375.26299000,1.22305589,1.58596195,0.79296721,288
2023-07-12,758610.04800000,1419233169.66011480,1.22285424,1.53825031,0.87058508,288
2023-07-13,892652.11900000,1788375373.81961040,1.20342842,0.80084790,0.72941503,288
2023-07-14,722668.02400000,1399699562.28440000,1.23976720,1.35223268,1.62803312,288
2023-07-15,758938.72700000,1464789690.04635000,1.20676752,1.34782850,1.51623035,288
2023-07-16,749138.39300000,1438801848.03442700,1.23461884,1.38226464,0.85552270,288
2023-07-17,736367.28200000,1408000516.23938000,1.23121912,1.68632750,0.45884805,288
2023-07-18,751823.57500000,1425773609.65465160,1.21262367,1.71231924,1.38833084,288
2023-07-19,758684.66700000,1433989889.09670000,1.19242923,1.85429224,1.74667300,288
2023-07-20,752448.69800000,1421924500.71851800,1.18466239,1.96912925,0.42003765,288
2023-07-21,746120.67600000,1410891814.69572000,1.20515267,1.87448553,0.46750812,288
2023-07-22,770722.02200000,1435600111.69339420,1.14616150,2.06687471,1.50991558,288
2023-07-23,725429.96700000,1370182997.61046150,1.19869730,1.81544969,1.10778301,288
