snap_ts,instrument_name,underlying_price,mark_price,mark_iv,open_interest,bid_price,ask_price,volume,volume_usd
1788239347308,ETH-1SEP26-2560-C,2474.44,2e-06,57.84,315.0,,0.0001,380.0,369.03
1788239347308,ETH-25SEP26-3800-P,2482.76,0.531023,66.64,943.0,0.5255,0.538,0.0,0.0
1788239347308,ETH-1SEP26-2600-C,2474.44,0.0,68.61,197.0,,0.0001,86.0,42.77
1788239347308,ETH-18SEP26-2450-C,2479.6,0.046877,47.3,145.0,0.046,0.0475,94.0,10114.01
1788239347308,ETH-25SEP26-3200-C,2482.76,0.002733,56.71,14020.0,0.0025,0.0029,0.0,0.0
1788239347308,ETH-25SEP26-1000-P,2482.76,0.000143,125.34,10774.0,0.0001,0.0002,0.0,0.0
1788239347308,ETH-4SEP26-3000-C,2475.6,0.000142,81.48,2860.0,,0.0002,90.0,41.84
1788239347308,ETH-25SEP26-1000-C,2482.72,0.597359,125.34,5785.0,0.5955,0.599,0.0,0.0
1788239347308,ETH-27NOV26-2000-C,2493.76,0.223694,53.33,4.0,0.2205,0.2285,0.0,0.0
1788239347308,ETH-4SEP26-2800-C,2475.6,0.000411,63.59,4128.0,0.0003,0.0005,11.0,11.25
1788239347308,ETH-25DEC26-1800-C,2498.18,0.299887,56.05,2434.0,0.295,0.304,0.0,0.0
1788239347308,ETH-26MAR27-4800-P,2523.13,0.921759,58.84,0.0,0.903,0.939,0.0,0.0
1788239347308,ETH-30OCT26-2250-P,2488.0,0.037922,50.11,1373.0,0.0375,0.0385,129.0,12236.35
1788239347308,ETH-25SEP26-5200-C,2482.76,5.6e-05,89.16,2392.0,,0.0001,0.0,0.0
1788239347308,ETH-30OCT26-2900-C,2488.0,0.030034,51.68,981.0,0.0295,0.0305,210.0,16134.33
1788239347308,ETH-2SEP26-2260-C,2474.8,0.086918,69.7,0.0,0.084,0.09,0.0,0.0
1788239347308,ETH-27NOV26-3800-C,2493.76,0.010075,57.46,1306.0,0.0095,0.0105,2.0,44.08
1788239347308,ETH-25JUN27-4400-P,2551.53,0.775225,57.63,1.0,0.758,0.7925,0.0,0.0
