time,acct,coin,action,price,units,reason,pnl
2026-07-24T17:46:03.326703+00:00,trend_2x,LINKUSDT,SELL,8.369,96.997166,exit,-7.68
2026-07-24T17:46:03.326924+00:00,trend_3x,LINKUSDT,SELL,8.369,145.495749,exit,-11.52
2026-07-25T21:04:00.333838+00:00,trend_1x,AVAXUSDT,BUY,6.713,55.307076,breakout,
2026-07-25T21:04:00.334084+00:00,trend_2x,AVAXUSDT,BUY,6.713,110.614152,breakout,
2026-07-25T21:04:00.334132+00:00,trend_3x,AVAXUSDT,BUY,6.713,165.921228,breakout,
2026-07-29T06:40:50.253020+00:00,trend_1x,LTCUSDT,SELL,45.32,8.545443,exit,-14.43
2026-07-29T06:40:50.253438+00:00,trend_2x,LTCUSDT,SELL,45.32,17.090886,exit,-28.85
2026-07-29T06:40:50.253617+00:00,trend_3x,LTCUSDT,SELL,45.32,25.636329,exit,-43.28
2026-08-01T21:04:51.350216+00:00,trend_1x,AVAXUSDT,SELL,6.132,55.307076,exit,-33.2
2026-08-01T21:04:51.350623+00:00,trend_2x,AVAXUSDT,SELL,6.132,110.614152,exit,-66.4
2026-08-01T21:04:51.350827+00:00,trend_3x,AVAXUSDT,SELL,6.132,165.921228,exit,-99.6
2026-08-03T18:00:15.071248+00:00,trend_1x,UNIUSDT,SELL,3.929,58.137644,exit,26.33
2026-08-03T18:00:15.071570+00:00,trend_2x,UNIUSDT,SELL,3.929,116.275288,exit,52.66
2026-08-03T18:00:15.071641+00:00,trend_3x,UNIUSDT,SELL,3.929,174.412931,exit,78.99
2026-08-03T21:15:06.084765+00:00,trend_1x,ALGOUSDT,BUY,0.0913,2910.287636,breakout,
2026-08-03T21:15:06.085037+00:00,trend_2x,ALGOUSDT,BUY,0.0913,5820.575273,breakout,
2026-08-03T21:15:06.085122+00:00,trend_3x,ALGOUSDT,BUY,0.0913,8730.862909,breakout,
2026-08-05T03:24:58.854637+00:00,trend_1x,DOTUSDT,BUY,0.857,449.193639,breakout,
2026-08-05T03:24:58.854830+00:00,trend_2x,DOTUSDT,BUY,0.857,898.387277,breakout,
2026-08-05T03:24:58.854870+00:00,trend_3x,DOTUSDT,BUY,0.857,1347.580916,breakout,
2026-08-07T17:01:50.688320+00:00,trend_1x,DOTUSDT,SELL,0.809,449.193639,exit,-22.68
2026-08-07T17:01:50.688662+00:00,trend_2x,DOTUSDT,SELL,0.809,898.387277,exit,-45.37
2026-08-07T17:01:50.688776+00:00,trend_3x,DOTUSDT,SELL,0.809,1347.580916,exit,-68.05
2026-08-09T08:55:09.690482+00:00,trend_1x,LTCUSDT,BUY,46.18,9.989048,breakout,
2026-08-09T08:55:09.690708+00:00,trend_2x,LTCUSDT,BUY,46.18,19.384514,breakout,
2026-08-09T08:55:09.690799+00:00,trend_3x,LTCUSDT,BUY,46.18,28.186399,breakout,
